knock       onsets(s): 0 0.085 0.17 0.255 | last: 0.255 | has 0.7: false
bell        onsets(s): 0 0.055 0.11 0.165 0.22 0.275 0.33 0.385 0.44 0.495 0.55 | last: 0.55 | has 0.7: false
blip        onsets(s): 0 0.07 0.14 0.21 0.28 | last: 0.28 | has 0.7: false
typewriter  onsets(s): 0 0.12 0.122 0.129 0.14 0.155 0.175 0.199 0.228 0.261 0.298 0.34 0.386 0.437 0.492 0.62 | last: 0.62 | has 0.7: false
marble      onsets(s): 0 0.003 0.05 0.053 0.09 0.093 0.14 0.143 0.18 0.183 0.23 0.233 0.27 0.273 0.32 0.323 0.36 0.363 0.41 0.413 0.45 0.453 0.5 0.503 0.54 0.543 0.59 0.593 0.63 0.633 0.68 0.683 0.75 | last: 0.75 | has 0.7: false
pop         onsets(s): 0 0.063 0.126 0.165 0.228 0.291 0.33 0.393 0.456 0.495 0.55 0.558 0.621 | last: 0.621 | has 0.7: false
kalimba     onsets(s): 0 0.07 0.14 0.21 0.28 0.35 0.42 0.49 0.64 | last: 0.64 | has 0.7: false
pencil      onsets(s): 0 0.1 0.42 0.44 0.478 0.516 0.554 0.592 0.63 0.668 0.706 0.744 0.92 | last: 0.92 | has 0.7: false
whistle     onsets(s): 0 0.19 0.38 0.57 0.76 | last: 0.76 | has 0.7: false
bongo       onsets(s): 0 0.11 0.22 0.3 0.38 0.46 0.52 0.58 0.72 | last: 0.72 | has 0.7: false
cork        onsets(s): 0 0.01 0.03 0.45 0.6 0.75 0.9 1.05 1.3 1.36 | last: 1.36 | has 0.7: false
arcade      onsets(s): 0 0.055 0.11 0.165 0.22 0.275 0.33 0.385 0.44 0.495 0.55 0.605 0.7 | last: 0.7 | has 0.7: true
